feature,bucket,horizon_d,sample_count,is_underpowered,mean_return,median_return,winsorized_mean_return_5pct,std_return,hit_rate,p10_return,p90_return,mean_simple_net_return,mean_close_mae,mean_close_mfe,universe
volume_breakout_days_5d,2+,20,1234,false,0.02750486286921314,0.001480677758050053,0.01602761225549456,0.14427374036738425,0.5016207455429498,-0.11319591084296968,0.1972003047956148,0.02165486286921315,-0.05854598205532558,0.0944233911323225,all
volume_breakout_days_5d,0,5,1,true,0.15254237288135597,0.15254237288135597,,,1.0,,,0.14669237288135598,0.008474576271186418,0.27966101694915246,top200
volume_breakout_days_5d,2+,5,1,true,0.2972027972027973,0.2972027972027973,,,1.0,,,0.2913527972027973,0.09965034965034958,0.2972027972027973,top200
failed_breakdown_count_10d,0,5,6720,false,0.004390368581618078,0.002049188932700119,0.0029971834701309572,0.06585506823040208,0.5096726190476191,-0.061224489795918324,0.07134038800705449,-0.0014596314183819203,-0.025164927307064426,0.02628958547380327,all
failed_breakdown_count_10d,1,5,3894,false,0.003258814373969689,0.0016052853310933868,0.0021574476342266415,0.05914703665275396,0.5059065228556754,-0.059174641148325366,0.06486486486486487,-0.002591185626030309,-0.02308300283375331,0.024474503747787212,all
failed_breakdown_count_10d,2+,5,1344,false,0.0032502370511541534,0.0,0.0013556491238504648,0.057793927520405255,0.48735119047619047,-0.054373380411555775,0.06755305416430014,-0.002599762948845844,-0.022269975117249655,0.024172883261719673,all
failed_breakdown_count_10d,0,10,6717,false,0.01389149757507003,0.005102040816326703,0.009049384116496315,0.08947663829545877,0.5352091707607562,-0.07386351302301856,0.10629921259842523,0.00804149757507003,-0.036702121861227906,0.047861250165137585,all
failed_breakdown_count_10d,1,10,3892,false,0.013774626047999044,0.004437879533891298,0.009165092925969785,0.08477571648627921,0.5251798561151079,-0.0684345650125118,0.1012013818571685,0.007924626047999045,-0.0341810492733512,0.04644569957624773,all
failed_breakdown_count_10d,2+,10,1343,false,0.010451047402362926,0.003669724770642091,0.0056726087522255084,0.08156099027458572,0.526433358153388,-0.070409665054746,0.09476959994000968,0.004601047402362927,-0.03465422037027702,0.04420479491399009,all
failed_breakdown_count_10d,0,20,6687,false,0.02151659103668289,0.006711409395973034,0.012381735820419083,0.13063149283251993,0.5323762524300882,-0.10507500190360161,0.1507926308823953,0.01566659103668289,-0.054979869591066044,0.07907291076744523,all
failed_breakdown_count_10d,1,20,3885,false,0.01971378984306275,0.004347826086956497,0.011762289990756007,0.12876613937243825,0.5184041184041184,-0.10172447772960184,0.15228758169934634,0.01386378984306275,-0.052146397940599234,0.07694095927535206,all
failed_breakdown_count_10d,2+,20,1341,false,0.01780300704770164,0.0033444816053511683,0.00928425176048182,0.11496429130726564,0.5100671140939598,-0.09777015437392789,0.13682678311499274,0.01195300704770164,-0.05225317884099808,0.07382745722524346,all
failed_breakdown_count_10d,0,5,2,true,0.22487258504207663,0.22487258504207663,,0.10229036700701453,1.0,,,0.2190225850420766,0.054062462960768,0.2884319070759749,top200
beta_60,Q1,5,2912,false,-0.005265042985687662,-0.004162335412335516,-0.00565451491021468,0.052583865695648956,0.426510989010989,-0.06353411197293368,0.04737505847893748,-0.011115042985687662,-0.025829089287958993,0.01687545838968645,all
beta_60,Q2,5,1815,false,0.0060154294790005745,0.0034843205574912606,0.004212771076966006,0.06146675731562575,0.5300275482093664,-0.05324762675067052,0.0688707192795356,0.00016542947900057537,-0.02273260464286927,0.02612296636239971,all
beta_60,Q3,5,1533,false,0.006534468148776502,0.004081632653061273,0.005516458633182098,0.07103526537594541,0.5322896281800391,-0.05767154687962145,0.07305756091440879,0.0006844681487765019,-0.02453607969458249,0.029352717957142328,all
beta_60,Q4,5,1398,false,0.007172779089587376,0.006028670241364775,0.0064201732242230546,0.07206206372480471,0.547925608011445,-0.06596296264781046,0.08153330249768732,0.001322779089587379,-0.02712911132631821,0.030079470287781244,all
beta_60,Q5,5,1635,false,0.011130563826705912,0.006031363088057962,0.009420249232200945,0.07214281429860592,0.5425076452599389,-0.06538089029614454,0.09214932126696827,0.005280563826705915,-0.025470807918295417,0.03464524574186062,all
